Date,Sleep_Started,Struggle_Time,Interventions,Actual_Sleep_Time,Wake_Up_Time,Sleep_Duration,Sleep_Location,Total_Sleep_Mins,Total_Struggle_Mins
5/5/2017,10:38:00 PM,0:18:00,,10:56:00 PM,3:27:00 AM,4:31:00,Crib,271.00,18.00
5/6/2017,3:38:00 AM,0:35:00,2,4:13:00 AM,7:00:00 AM,2:47:00,Crib,167.00,35.00
5/6/2017,9:02:00 AM,0:00:00,,9:02:00 AM,10:04:00 AM,1:02:00,Car,62.00,0.00
5/6/2017,11:35:00 AM,0:00:00,,11:35:00 AM,12:50:00 PM,1:15:00,Car,75.00,0.00
5/6/2017,2:30:00 PM,0:14:00,,2:44:00 PM,4:06:00 PM,1:22:00,Crib,82.00,14.00
5/6/2017,7:41:00 PM,0:00:00,,7:41:00 PM,8:45:00 PM,1:04:00,"Car, Crib",64.00,0.00
5/6/2017,10:55:00 PM,0:05:00,,11:00:00 PM,2:38:00 AM,3:38:00,Crib,218.00,5.00
5/7/2017,2:42:00 AM,0:11:00,,2:53:00 AM,2:55:00 AM,0:02:00,Crib,2.00,11.00
5/7/2017,2:56:00 AM,0:14:00,,3:10:00 AM,6:45:00 AM,3:35:00,Crib,215.00,14.00
5/7/2017,7:54:00 AM,0:16:00,,8:10:00 AM,10:05:00 AM,1:55:00,Bed,115.00,16.00
5/7/2017,12:40:00 PM,0:19:00,,12:59:00 PM,2:27:00 PM,1:28:00,Crib,88.00,19.00
5/7/2017,5:10:00 PM,0:08:00,,5:18:00 PM,6:48:00 PM,1:30:00,Crib,90.00,8.00
5/7/2017,10:01:00 PM,0:02:00,,10:03:00 PM,5:10:00 AM,7:07:00,Crib,427.00,2.00
5/8/2017,5:25:00 AM,0:25:00,,5:50:00 AM,8:46:00 AM,2:56:00,Bed,176.00,25.00
5/8/2017,1:05:00 PM,0:10:00,,1:15:00 PM,1:55:00 PM,0:40:00,Crib,40.00,10.00
5/8/2017,4:07:00 PM,0:08:00,,4:15:00 PM,4:46:00 PM,0:31:00,Crib,31.00,8.00
5/8/2017,8:02:00 PM,0:19:00,,8:21:00 PM,9:55:00 PM,1:34:00,Crib,94.00,19.00
5/9/2017,12:09:00 AM,0:05:00,,12:14:00 AM,7:02:00 AM,6:48:00,Crib,408.00,5.00
5/9/2017,8:49:00 AM,0:00:00,,8:49:00 AM,9:24:00 AM,0:35:00,Car,35.00,0.00
5/9/2017,9:31:00 AM,0:00:00,,9:31:00 AM,10:34:00 AM,1:03:00,Car,63.00,0.00
5/9/2017,1:51:00 PM,0:09:00,,2:00:00 PM,3:27:00 PM,1:27:00,Crib,87.00,9.00
5/9/2017,5:01:00 PM,0:09:00,,5:10:00 PM,6:28:00 PM,1:18:00,Crib,78.00,9.00
5/9/2017,10:08:00 PM,0:00:00,,10:08:00 PM,1:26:00 AM,3:18:00,Crib,198.00,0.00
5/10/2017,1:35:00 AM,0:09:00,,1:44:00 AM,7:05:00 AM,5:21:00,Crib,321.00,9.00
5/10/2017,7:23:00 AM,0:00:00,,7:23:00 AM,7:36:00 AM,0:13:00,Crib,13.00,0.00
5/10/2017,9:27:00 AM,0:33:00,,10:00:00 AM,10:45:00 AM,0:45:00,Crib,45.00,33.00
5/10/2017,1:22:00 PM,0:04:00,,1:26:00 PM,2:38:00 PM,1:12:00,Crib,72.00,4.00
5/10/2017,2:45:00 PM,0:00:00,,2:45:00 PM,3:30:00 PM,0:45:00,Crib,45.00,0.00
5/10/2017,5:42:00 PM,0:04:00,,5:46:00 PM,6:32:00 PM,0:46:00,Crib,46.00,4.00
5/10/2017,10:28:00 PM,0:04:00,,10:32:00 PM,6:30:00 AM,7:58:00,Crib,478.00,4.00
5/11/2017,6:35:00 AM,0:05:00,,6:40:00 AM,8:32:00 AM,1:52:00,Crib,112.00,5.00
5/11/2017,12:20:00 PM,0:09:00,,12:29:00 PM,1:50:00 PM,1:21:00,Crib,81.00,9.00
5/11/2017,5:20:00 PM,0:00:00,,5:20:00 PM,5:56:00 PM,0:36:00,Car,36.00,0.00
5/11/2017,10:29:00 PM,0:03:00,,10:32:00 PM,2:24:00 AM,3:52:00,Crib,232.00,3.00
5/12/2017,2:30:00 AM,0:53:00,,3:23:00 AM,7:32:00 AM,4:09:00,Crib,249.00,53.00
5/12/2017,9:12:00 AM,0:00:00,,9:12:00 AM,11:07:00 AM,1:55:00,Car,115.00,0.00
5/12/2017,2:46:00 PM,0:00:00,,2:46:00 PM,3:38:00 PM,0:52:00,Car,52.00,0.00
5/12/2017,6:56:00 PM,0:00:00,,6:56:00 PM,10:25:00 PM,3:29:00,"Car, Crib",209.00,0.00
